[0.70711, 0, 0, 0.70711, 0, 0, 0, 0] 4 [0, 0, 0, 0, 0.485, 0, 0, 0.515] [0.021, 0.014, 0.016, 0.027, 0.428, 0.027, 0.026, 0.441]
[0.70711, 0, 0, 0.70711, 0, 0, 0, 0] 5 [0.503, 0, 0, 0, 0, 0.497, 0, 0] [0.427, 0.034, 0.01, 0.017, 0.022, 0.444, 0.029, 0.017]
[0.70711, 0, 0, 0.70711, 0, 0, 0, 0] 6 [0, 0.506, 0, 0, 0, 0, 0.494, 0] [0.033, 0.437, 0.024, 0.023, 0.019, 0.019, 0.418, 0.027]
[0.70711, 0, 0, 0.70711, 0, 0, 0, 0] 7 [0, 0, 0.522, 0, 0, 0, 0, 0.478] [0.02, 0.013, 0.442, 0.023, 0.006, 0.025, 0.021, 0.45]
[0.70711, 0, 0, 0, 0.70711, 0, 0, 0] 0 [0.492, 0, 0, 0, 0.508, 0, 0, 0] [0.472, 0.014, 0.012, 0, 0.475, 0.01, 0.017, 0]
[0.70711, 0, 0, 0, 0.70711, 0, 0, 0] 1 [0, 0.481, 0, 0, 0, 0.519, 0, 0] [0.013, 0.449, 0.007, 0.012, 0.016, 0.471, 0.008, 0.024]
[0.70711, 0, 0, 0, 0.70711, 0, 0, 0] 2 [0, 0, 0.481, 0, 0, 0, 0.519, 0] [0.016, 0.006, 0.472, 0.011, 0.016, 0.002, 0.462, 0.015]
[0.70711, 0, 0, 0, 0.70711, 0, 0, 0] 3 [0, 0, 0, 0.496, 0, 0, 0, 0.504] [0.007, 0.022, 0.004, 0.486, 0.003, 0.023, 0.004, 0.451]
[0.70711, 0, 0, 0, 0.70711, 0, 0, 0] 4 [0.511, 0, 0, 0, 0.489, 0, 0, 0] [0.473, 0.009, 0.016, 0, 0.47, 0.009, 0.023, 0]
[0.70711, 0, 0, 0, 0.70711, 0, 0, 0] 5 [0, 0.495, 0, 0, 0, 0.505, 0, 0] [0.005, 0.492, 0.003, 0.02, 0.009, 0.452, 0.008, 0.011]
[0.70711, 0, 0, 0, 0.70711, 0, 0, 0] 6 [0, 0, 0.496, 0, 0, 0, 0.504, 0] [0.013, 0, 0.479, 0.007, 0.025, 0.001, 0.47, 0.005]
[0.70711, 0, 0, 0, 0.70711, 0, 0, 0] 7 [0, 0, 0, 0.509, 0, 0, 0, 0.491] [0.002, 0.023, 0.003, 0.495, 0.001, 0.024, 0.005, 0.447]
[0.70711, 0, 0, 0, 0, 0.70711, 0, 0] 0 [0.499, 0, 0, 0, 0, 0.501, 0, 0] [0.445, 0.028, 0.017, 0.013, 0.027, 0.451, 0.005, 0.014]
[0.70711, 0, 0, 0, 0, 0.70711, 0, 0] 1 [0, 0.522, 0, 0, 0, 0, 0.478, 0] [0.013, 0.405, 0.04, 0.016, 0.012, 0.032, 0.461, 0.021]
[0.70711, 0, 0, 0, 0, 0.70711, 0, 0] 2 [0, 0, 0.502, 0, 0, 0, 0, 0.498] [0.012, 0.007, 0.441, 0.04, 0.005, 0.01, 0.041, 0.444]
[0.70711, 0, 0, 0, 0, 0.70711, 0, 0] 3 [0.504, 0, 0, 0.496, 0, 0, 0, 0] [0.475, 0.019, 0.024, 0.414, 0.022, 0.012, 0.01, 0.024]
[0.70711, 0, 0, 0, 0, 0.70711, 0, 0] 4 [0, 0.502, 0, 0, 0.498, 0, 0, 0] [0.033, 0.456, 0.009, 0.016, 0.434, 0.024, 0.015, 0.013]
[0.70711, 0, 0, 0, 0, 0.70711, 0, 0] 5 [0, 0, 0.492, 0, 0, 0.508, 0, 0] [0.01, 0.025, 0.469, 0.008, 0.008, 0.458, 0.015, 0.007]
[0.70711, 0, 0, 0, 0, 0.70711, 0, 0] 6 [0, 0, 0, 0.495, 0, 0, 0.505, 0] [0.008, 0.009, 0.029, 0.45, 0.008, 0.006, 0.458, 0.032]
[0.70711, 0, 0, 0, 0, 0.70711, 0, 0] 7 [0, 0, 0, 0, 0.478, 0, 0, 0.522] [0.025, 0.01, 0.007, 0.029, 0.468, 0.019, 0.009, 0.433]
[0.70711, 0, 0, 0, 0, 0, 0.70711, 0] 0 [0.509, 0, 0, 0, 0, 0, 0.491, 0] [0.46, 0.01, 0.019, 0.002, 0.015, 0.002, 0.478, 0.014]
[0.70711, 0, 0, 0, 0, 0, 0.70711, 0] 1 [0, 0.495, 0, 0, 0, 0, 0, 0.505] [0.005, 0.469, 0.004, 0.025, 0.001, 0.033, 0.006, 0.457]
[0.70711, 0, 0, 0, 0, 0, 0.70711, 0] 2 [0.495, 0, 0.505, 0, 0, 0, 0, 0] [0.443, 0.016, 0.491, 0.009, 0.013, 0.01, 0.014, 0.004]
[0.70711, 0, 0, 0, 0, 0, 0.70711, 0] 3 [0, 0.49, 0, 0.51, 0, 0, 0, 0] [0.004, 0.457, 0.01, 0.46, 0.006, 0.03, 0.003, 0.03]
[0.70711, 0, 0, 0, 0, 0, 0.70711, 0] 4 [0, 0, 0.494, 0, 0.506, 0, 0, 0] [0.017, 0.005, 0.462, 0.012, 0.469, 0.018, 0.014, 0.003]
[0.70711, 0, 0, 0, 0, 0, 0.70711, 0] 5 [0, 0, 0, 0.505, 0, 0.495, 0, 0] [0.007, 0.027, 0.011, 0.458, 0.019, 0.451, 0.013, 0.014]
[0.70711, 0, 0, 0, 0, 0, 0.70711, 0] 6 [0, 0, 0, 0, 0.506, 0, 0.494, 0] [0.015, 0.002, 0.021, 0.002, 0.459, 0.009, 0.48, 0.012]
[0.70711, 0, 0, 0, 0, 0, 0.70711, 0] 7 [0, 0, 0, 0, 0, 0.515, 0, 0.485] [0.013, 0.019, 0.006, 0.017, 0.01, 0.44, 0.012, 0.483]
[0.70711, 0, 0, 0, 0, 0, 0, 0.70711] 0 [0.506, 0, 0, 0, 0, 0, 0, 0.494] [0.475, 0.017, 0.013, 0.017, 0.024, 0.02, 0.021, 0.413]
[0.70711, 0, 0, 0, 0, 0, 0, 0.70711] 1 [0.503, 0.497, 0, 0, 0, 0, 0, 0] [0.471, 0.435, 0.021, 0.014, 0.017, 0.017, 0.015, 0.01]
[0.70711, 0, 0, 0, 0, 0, 0, 0.70711] 2 [0, 0.475, 0.525, 0, 0, 0, 0, 0] [0.026, 0.441, 0.432, 0.024, 0.015, 0.027, 0.02, 0.015]
[0.70711, 0, 0, 0, 0, 0, 0, 0.70711] 3 [0, 0, 0.496, 0.504, 0, 0, 0, 0] [0.017, 0.016, 0.454, 0.429, 0.016, 0.014, 0.025, 0.029]
